2021-11-30 10:22:23 [pool-2-thread-102] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 102 with 297 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-569] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 569 with 16 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-106] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 106 with 429 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-592] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 592 with 811 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-107] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 107 with 292 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-597] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 597 with 462 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-80] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 80 with 52 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-81] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 81 with 722 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-84] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 84 with 54 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-85] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 85 with 154 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-612] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 612 with 3 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-89] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 89 with 592 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-96] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 96 with 547 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-93] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 93 with 7 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-92] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 92 with 90 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-100] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 100 with 566 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-97] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 97 with 87 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-104] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 104 with 27 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-105] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 105 with 454 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-630] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 630 with 924 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-108] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 108 with 226 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-109] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 109 with 28 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-112] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 112 with 207 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-117] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 117 with 105 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-116] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 116 with 346 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-642] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 642 with 215 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-124] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 124 with 502 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-120] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 120 with 92 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-110] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 110 with 552 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-650] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 650 with 461 containers is in queue. Ship status - loading required.
